year,rho,v,L,mean_pagerank,mu_pagerank,Re
2015,171.041667,85.3,72,0.011138,0.836953,12554.6
2016,192.013333,111.5,75,0.010656,0.87479,18354.3
2017,246.710526,82.0,76,0.01052,0.886092,17348.6
2018,200.777778,93.1,90,0.008722,1.068818,15745.6
2019,254.516484,82.8,91,0.008655,1.077049,17810.9
2020,158.406593,100.8,91,0.008756,1.064643,13646.9
2021,56.789474,98.5,95,0.0082,1.136793,4672.9
2022,33.758621,29.9,87,0.008731,1.067729,823.5
2023,25.317073,15.6,82,0.009499,0.981384,329.3
2024,15.882353,10.3,85,0.009179,1.015608,136.8
